--- Detalhes ---
Nome,País,Distrito,Concelho,Freguesia,Latitude,Longitude,Distância (m)
Polo Aveiro Norte UA,Portugal,Aveiro,Oliveira de Azeméis,"Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",40.8391149,-8.4799894,5.823
Escola Superior Aveiro Norte,Portugal,Aveiro,Oliveira de Azeméis,"Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",40.8621825,-8.477207286534295,8.36
Colégio de Albergaria,Portugal,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,40.7033553,-8.483367444521177,9.144
Escola Tecnológica de Vale de cambra,Portugal,Aveiro,Vale de Cambra,Sem informação,40.8499921,-8.388380429883274,10.582
Edifício IPAM,Portugal,Aveiro,Aveiro,Sem informação,40.64337925,-8.63254288904514,20.286
ISCIA,Portugal,Aveiro,Aveiro,Sem informação,40.63696445,-8.632351381607744,20.867
Universidade de Aveiro - Campus de Santiago,Portugal,Aveiro,Aveiro,Glória e Vera Cruz,40.6320191,-8.659793980111745,22.217
Instituto Superior de Contabilidade e Administração,Portugal,Aveiro,Aveiro,Glória e Vera Cruz,40.6301929,-8.652908305692666,22.424
Seminário de Santa Joana Princesa,Portugal,Aveiro,Aveiro,Glória e Vera Cruz,40.633206,-8.657330074548,22.458
Universidade de Aveiro - Campus do Crasto,Portugal,Aveiro,Aveiro,Sem informação,40.6234239,-8.657743924239305,23.214
Escola Superior de Saúde de Aveiro,Portugal,Aveiro,Aveiro,Sem informação,40.6233537,-8.6570758,23.363
Oficinas 6,Portugal,Aveiro,Águeda,Águeda e Borralha,40.574686,-8.443856012028995,23.765
refeitório/bar/restaurante,Portugal,Aveiro,Águeda,Águeda e Borralha,40.57448585,-8.444423502913683,23.768
Seguranças,Portugal,Aveiro,Águeda,Águeda e Borralha,40.57465105,-8.443526850000001,23.782
Central 5,Portugal,Aveiro,Águeda,Águeda e Borralha,40.5741018,-8.443403358316893,23.8
Auditório 4,Portugal,Aveiro,Águeda,Águeda e Borralha,40.57426895,-8.444514190038777,23.803
Escola Superior de Tecnologia e Gestão de Águeda,Portugal,Aveiro,Águeda,Águeda e Borralha,40.574339,-8.4439831,23.813
Docentes 7,Portugal,Aveiro,Águeda,Águeda e Borralha,40.5740518,-8.4449225,23.818
Electromecânica 3,Portugal,Aveiro,Águeda,Águeda e Borralha,40.573966999999996,-8.444569629255952,23.82
NAE,Portugal,Aveiro,Águeda,Águeda e Borralha,40.57393135,-8.444746771666667,23.831

--- Estatísticas ---
Total de Atrações,Distância Média (km)
20,20.146900000000002
